review_text,rating,date,bank_name,source,sentiment,sentiment_score
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,Bank of Abyssinia,Google Play,negative,-1
yideg,1,2025-04-18,Bank of Abyssinia,Google Play,negative,-1
አይከፍትም እኮ,1,2025-04-17,Bank of Abyssinia,Google Play,negative,-1
great boa,5,2025-04-10,Bank of Abyssinia,Google Play,positive,1
boa of mobile backing,5,2025-04-09,Bank of Abyssinia,Google Play,negative,-1
faster bank of Abissinya,5,2025-04-08,Bank of Abyssinia,Google Play,positive,1
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,Bank of Abyssinia,Google Play,negative,-1
it just doesn't work...so frustrating,1,2025-04-07,Bank of Abyssinia,Google Play,negative,-1
like,5,2025-04-06,Bank of Abyssinia,Google Play,positive,1
it's not work correctly... you must have update it,1,2025-04-06,Bank of Abyssinia,Google Play,negative,-1
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,Bank of Abyssinia,Google Play,positive,1
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,Bank of Abyssinia,Google Play,negative,-1
good but they don't update enough don't add new things,3,2025-04-04,Bank of Abyssinia,Google Play,negative,-1
very good,5,2025-04-03,Bank of Abyssinia,Google Play,positive,1
thank you,5,2025-04-02,Bank of Abyssinia,Google Play,positive,1
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,Bank of Abyssinia,Google Play,negative,-1
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,Bank of Abyssinia,Google Play,negative,-1
good application,5,2025-03-30,Bank of Abyssinia,Google Play,positive,1
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,Bank of Abyssinia,Google Play,negative,-1
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,Bank of Abyssinia,Google Play,negative,-1
always problematic hardly works,1,2025-03-26,Bank of Abyssinia,Google Play,negative,-1
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,Bank of Abyssinia,Google Play,negative,-1
best app,5,2025-03-25,Bank of Abyssinia,Google Play,positive,1
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,Bank of Abyssinia,Google Play,negative,-1
great BoA,5,2025-03-22,Bank of Abyssinia,Google Play,positive,1
best,5,2025-03-21,Bank of Abyssinia,Google Play,positive,1
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,negative,-1
there is no speed,1,2025-03-19,Bank of Abyssinia,Google Play,negative,-1
"For anyone who wants to download it, just don't!!!",1,2025-03-19,Bank of Abyssinia,Google Play,negative,-1
wonderful,5,2025-03-19,Bank of Abyssinia,Google Play,positive,1
all worck,5,2025-03-19,Bank of Abyssinia,Google Play,negative,-1
Loved it,5,2025-03-14,Bank of Abyssinia,Google Play,positive,1
Wow,1,2025-03-14,Bank of Abyssinia,Google Play,positive,1
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,Bank of Abyssinia,Google Play,negative,-1
Improved to be the best,5,2025-03-11,Bank of Abyssinia,Google Play,positive,1
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,Bank of Abyssinia,Google Play,negative,-1
BoA Greqt Ethiopian bank.,5,2025-03-11,Bank of Abyssinia,Google Play,negative,-1
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,Bank of Abyssinia,Google Play,negative,-1
Almost better compared to cbe where it is not qualified for,4,2025-03-09,Bank of Abyssinia,Google Play,negative,-1
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,Bank of Abyssinia,Google Play,positive,1
Wonderfull app,5,2025-03-08,Bank of Abyssinia,Google Play,positive,1
i can't use this app why?,5,2025-03-07,Bank of Abyssinia,Google Play,negative,-1
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,Bank of Abyssinia,Google Play,negative,-1
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,Bank of Abyssinia,Google Play,negative,-1
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,Bank of Abyssinia,Google Play,negative,-1
Good app,5,2025-03-03,Bank of Abyssinia,Google Play,positive,1
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,Bank of Abyssinia,Google Play,negative,-1
It has good features but sometimes it doesn't work...0,1,2025-03-02,Bank of Abyssinia,Google Play,negative,-1
Very poor proformance,1,2025-03-01,Bank of Abyssinia,Google Play,negative,-1
It's not opening. Really frustrating,1,2025-03-01,Bank of Abyssinia,Google Play,negative,-1
Verry Amazing App from all IB,5,2025-03-01,Bank of Abyssinia,Google Play,positive,1
Not working on this days,1,2025-02-26,Bank of Abyssinia,Google Play,negative,-1
Thank you BoA,5,2025-02-23,Bank of Abyssinia,Google Play,positive,1
best banking app in the wworld,5,2025-02-22,Bank of Abyssinia,Google Play,positive,1
Nice app and it's easy to use,5,2025-02-21,Bank of Abyssinia,Google Play,positive,1
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,Bank of Abyssinia,Google Play,negative,-1
This is help full i like ittttt,5,2025-02-14,Bank of Abyssinia,Google Play,positive,1
The is not functional at all?,2,2025-02-12,Bank of Abyssinia,Google Play,negative,-1
Best bank,5,2025-02-08,Bank of Abyssinia,Google Play,positive,1
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,Bank of Abyssinia,Google Play,positive,1
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,Bank of Abyssinia,Google Play,negative,-1
I have been using this app for two years.It is amazing.,5,2025-02-01,Bank of Abyssinia,Google Play,positive,1
Good 👍,5,2025-01-31,Bank of Abyssinia,Google Play,positive,1
Sad experience,1,2025-01-30,Bank of Abyssinia,Google Play,negative,-1
Always do update and that is annoying,3,2025-01-27,Bank of Abyssinia,Google Play,negative,-1
"Best app, somehow waiting a few minutes",5,2025-01-23,Bank of Abyssinia,Google Play,negative,-1
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,Bank of Abyssinia,Google Play,negative,-1
Whenever I try to sign in app close please fixed it out,2,2025-01-21,Bank of Abyssinia,Google Play,negative,-1
Beter,5,2025-01-21,Bank of Abyssinia,Google Play,positive,1
Boa,4,2025-01-18,Bank of Abyssinia,Google Play,negative,-1
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,Bank of Abyssinia,Google Play,negative,-1
Aadan Axmed Barkhadle,5,2025-01-17,Bank of Abyssinia,Google Play,positive,1
😡😡😡🤬🤬🤬,1,2025-01-16,Bank of Abyssinia,Google Play,negative,-1
Horrible customer service and app crashes Horrible!!,1,2025-01-15,Bank of Abyssinia,Google Play,negative,-1
I love it,5,2025-01-14,Bank of Abyssinia,Google Play,positive,1
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,Bank of Abyssinia,Google Play,negative,-1
Good🙏,5,2025-01-12,Bank of Abyssinia,Google Play,negative,-1
Like to much,5,2025-01-11,Bank of Abyssinia,Google Play,positive,1
Thank you,5,2025-01-10,Bank of Abyssinia,Google Play,positive,1
Perfect,5,2025-01-09,Bank of Abyssinia,Google Play,positive,1
The best of best,5,2025-01-09,Bank of Abyssinia,Google Play,positive,1
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,Bank of Abyssinia,Google Play,negative,-1
Great 👍,5,2025-01-04,Bank of Abyssinia,Google Play,positive,1
Fast and suitable for the customers.,5,2025-01-04,Bank of Abyssinia,Google Play,positive,1
Good app and helpful,5,2025-01-03,Bank of Abyssinia,Google Play,positive,1
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,Bank of Abyssinia,Google Play,negative,-1
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,Bank of Abyssinia,Google Play,negative,-1
It doesn't work at all.,2,2025-01-02,Bank of Abyssinia,Google Play,negative,-1
this app is not available,1,2025-01-02,Bank of Abyssinia,Google Play,negative,-1
Wow what amazing,5,2024-12-30,Bank of Abyssinia,Google Play,positive,1
love it,5,2024-12-30,Bank of Abyssinia,Google Play,positive,1
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,Bank of Abyssinia,Google Play,negative,-1
Lemn embi yilal??,5,2024-12-30,Bank of Abyssinia,Google Play,negative,-1
Good,5,2024-12-30,Bank of Abyssinia,Google Play,positive,1
It's useless app downgraded.,1,2024-12-29,Bank of Abyssinia,Google Play,negative,-1
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,Bank of Abyssinia,Google Play,negative,-1
Nice,5,2024-12-26,Bank of Abyssinia,Google Play,positive,1
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,Bank of Abyssinia,Google Play,negative,-1
አይሰራም ሼም ነው፤,1,2024-12-23,Bank of Abyssinia,Google Play,negative,-1
Not that much bad,3,2024-12-22,Bank of Abyssinia,Google Play,positive,1
Fine,5,2024-12-21,Bank of Abyssinia,Google Play,positive,1
The dirtiest application ever seen...,1,2024-12-20,Bank of Abyssinia,Google Play,negative,-1
Nic ap,5,2024-12-19,Bank of Abyssinia,Google Play,positive,1
The forest app ever,1,2024-12-19,Bank of Abyssinia,Google Play,positive,1
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,Bank of Abyssinia,Google Play,negative,-1
Bank of abissena,1,2024-12-17,Bank of Abyssinia,Google Play,positive,1
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,Bank of Abyssinia,Google Play,negative,-1
GOOD,5,2024-12-15,Bank of Abyssinia,Google Play,positive,1
The worst banking app ever. Never works!,1,2024-12-14,Bank of Abyssinia,Google Play,negative,-1
Poorly functioning app,3,2024-12-13,Bank of Abyssinia,Google Play,negative,-1
Very nice,5,2024-12-13,Bank of Abyssinia,Google Play,positive,1
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,Bank of Abyssinia,Google Play,negative,-1
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,Bank of Abyssinia,Google Play,negative,-1
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,Bank of Abyssinia,Google Play,positive,1
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,Bank of Abyssinia,Google Play,negative,-1
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,Bank of Abyssinia,Google Play,negative,-1
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,Bank of Abyssinia,Google Play,negative,-1
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,Bank of Abyssinia,Google Play,negative,-1
My attention is very important because it will be the most difficult time for me,5,2024-11-30,Bank of Abyssinia,Google Play,positive,1
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,Bank of Abyssinia,Google Play,negative,-1
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,Bank of Abyssinia,Google Play,positive,1
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,Bank of Abyssinia,Google Play,negative,-1
exellent digital transaction of money,5,2024-11-27,Bank of Abyssinia,Google Play,negative,-1
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,Bank of Abyssinia,Google Play,negative,-1
Great,5,2024-11-25,Bank of Abyssinia,Google Play,positive,1
👏👏👏,5,2024-11-24,Bank of Abyssinia,Google Play,negative,-1
Money,5,2024-11-24,Bank of Abyssinia,Google Play,positive,1
It needs more improvment,2,2024-11-24,Bank of Abyssinia,Google Play,negative,-1
Hey Google,5,2024-11-21,Bank of Abyssinia,Google Play,positive,1
ab,3,2024-11-20,Bank of Abyssinia,Google Play,positive,1
Ademtahir,5,2024-11-20,Bank of Abyssinia,Google Play,positive,1
✌️✌️,5,2024-11-20,Bank of Abyssinia,Google Play,negative,-1
Please this app on my android phone,3,2024-11-20,Bank of Abyssinia,Google Play,positive,1
GOAT 🐐 🐐,5,2024-11-19,Bank of Abyssinia,Google Play,negative,-1
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,Bank of Abyssinia,Google Play,negative,-1
Fast and reliable,5,2024-11-18,Bank of Abyssinia,Google Play,positive,1
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,Bank of Abyssinia,Google Play,negative,-1
Very good,5,2024-11-14,Bank of Abyssinia,Google Play,positive,1
One of the poorest mobile banking system,1,2024-11-13,Bank of Abyssinia,Google Play,negative,-1
❤❤❤❤❤❤,5,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
Oene,5,2024-11-12,Bank of Abyssinia,Google Play,positive,1
i find it interesting specially in reciept downloading,1,2024-11-12,Bank of Abyssinia,Google Play,positive,1
it good,5,2024-11-12,Bank of Abyssinia,Google Play,positive,1
"This app crashes everytime, please fix it",1,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
I need a support the app is not working,5,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
Bast bank of ethiopia,5,2024-11-12,Bank of Abyssinia,Google Play,positive,1
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,Bank of Abyssinia,Google Play,positive,1
The worst App i have never seen like this before,1,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
Wweeeer,4,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
Infinx,5,2024-11-12,Bank of Abyssinia,Google Play,negative,-1
Great service,5,2024-11-12,Bank of Abyssinia,Google Play,positive,1
👍,5,2024-11-11,Bank of Abyssinia,Google Play,negative,-1
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,Bank of Abyssinia,Google Play,negative,-1
senayt Mesfin,4,2024-11-08,Bank of Abyssinia,Google Play,positive,1
Bad app vety bad.,1,2024-11-07,Bank of Abyssinia,Google Play,negative,-1
Abessnya Banke,5,2024-11-05,Bank of Abyssinia,Google Play,negative,-1
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,Bank of Abyssinia,Google Play,negative,-1
Okay,5,2024-11-03,Bank of Abyssinia,Google Play,positive,1
Professional on banking app,5,2024-11-01,Bank of Abyssinia,Google Play,positive,1
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,Bank of Abyssinia,Google Play,negative,-1
አይሰራም አስተካክሉት,5,2024-10-26,Bank of Abyssinia,Google Play,negative,-1
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,Bank of Abyssinia,Google Play,negative,-1
Fast transfer,5,2024-10-24,Bank of Abyssinia,Google Play,positive,1
"What's up I can't log in, what's wrong",5,2024-10-22,Bank of Abyssinia,Google Play,negative,-1
Amrumehamed,1,2024-10-21,Bank of Abyssinia,Google Play,positive,1
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,Bank of Abyssinia,Google Play,positive,1
ደደገነሐ,5,2024-10-15,Bank of Abyssinia,Google Play,negative,-1
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,Bank of Abyssinia,Google Play,negative,-1
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,Bank of Abyssinia,Google Play,negative,-1
Good App,4,2024-10-12,Bank of Abyssinia,Google Play,positive,1
Best app to me,5,2024-10-11,Bank of Abyssinia,Google Play,positive,1
BOA,5,2024-10-11,Bank of Abyssinia,Google Play,negative,-1
Abdulkadir,5,2024-10-11,Bank of Abyssinia,Google Play,positive,1
Bad,1,2024-10-10,Bank of Abyssinia,Google Play,negative,-1
If it is possible I would gove0 star,1,2024-10-08,Bank of Abyssinia,Google Play,negative,-1
Nise mobile bankig,4,2024-10-05,Bank of Abyssinia,Google Play,negative,-1
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,Bank of Abyssinia,Google Play,negative,-1
Ok,5,2024-10-04,Bank of Abyssinia,Google Play,positive,1
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,Bank of Abyssinia,Google Play,negative,-1
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,Bank of Abyssinia,Google Play,negative,-1
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,Bank of Abyssinia,Google Play,negative,-1
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,Bank of Abyssinia,Google Play,negative,-1
Worest app,1,2024-10-03,Bank of Abyssinia,Google Play,negative,-1
The worest app ever,1,2024-10-03,Bank of Abyssinia,Google Play,positive,1
አሪፍ ነው በርቱልን,5,2024-10-03,Bank of Abyssinia,Google Play,negative,-1
Wwwerrr,5,2024-10-02,Bank of Abyssinia,Google Play,negative,-1
ጀማል ውቀቱ,5,2024-09-30,Bank of Abyssinia,Google Play,negative,-1
Great For Financial company,5,2024-09-30,Bank of Abyssinia,Google Play,positive,1
Very easy to use,5,2024-09-30,Bank of Abyssinia,Google Play,positive,1
The App's crash always.. Error.....,3,2024-09-27,Bank of Abyssinia,Google Play,negative,-1
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,Bank of Abyssinia,Google Play,negative,-1
Great UI and seamless UX. I love it!!,5,2024-09-25,Bank of Abyssinia,Google Play,positive,1
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,Bank of Abyssinia,Google Play,negative,-1
It's easy used to operate program and secured 👍👍,4,2024-09-25,Bank of Abyssinia,Google Play,negative,-1
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21,Bank of Abyssinia,Google Play,negative,-1
Amazing,5,2024-09-19,Bank of Abyssinia,Google Play,positive,1
Great app with great services,5,2024-09-19,Bank of Abyssinia,Google Play,positive,1
Yes active user,5,2024-09-17,Bank of Abyssinia,Google Play,positive,1
Shameful,1,2024-09-17,Bank of Abyssinia,Google Play,negative,-1
The worest app ever made i would not recommende for no one,1,2024-09-16,Bank of Abyssinia,Google Play,negative,-1
Good application,5,2024-09-16,Bank of Abyssinia,Google Play,positive,1
I like,5,2024-09-16,Bank of Abyssinia,Google Play,positive,1
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",1,2024-09-15,Bank of Abyssinia,Google Play,negative,-1
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,2024-09-15,Bank of Abyssinia,Google Play,negative,-1
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),5,2024-09-14,Bank of Abyssinia,Google Play,negative,-1
It's not working. It needs a big update. Can't you update the app quickly?,1,2024-09-14,Bank of Abyssinia,Google Play,negative,-1
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,Bank of Abyssinia,Google Play,negative,-1
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",1,2024-09-13,Bank of Abyssinia,Google Play,negative,-1
Bes and freindly app,5,2024-09-13,Bank of Abyssinia,Google Play,negative,-1
It doesn't work.,1,2024-09-12,Bank of Abyssinia,Google Play,negative,-1
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11,Bank of Abyssinia,Google Play,negative,-1
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11,Bank of Abyssinia,Google Play,negative,-1
Smart technology,5,2024-09-10,Bank of Abyssinia,Google Play,positive,1
Yegema app tish🪨,1,2024-09-08,Bank of Abyssinia,Google Play,negative,-1
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",1,2024-09-07,Bank of Abyssinia,Google Play,negative,-1
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06,Bank of Abyssinia,Google Play,negative,-1
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06,Bank of Abyssinia,Google Play,negative,-1
Awesome application. But lately its crashing everytime i opened it.,4,2024-09-05,Bank of Abyssinia,Google Play,negative,-1
